f (Hz)	psd [BVD]
0.0	4.4424278007017146e-17
2.0833333333333333e-05	6.504149107879791e-17
4.1666666666666665e-05	1.0993360689864009e-17
6.25e-05	1.2107634180800814e-17
8.333333333333333e-05	8.920014041510682e-17
0.00010416666666666666	1.1985654575104315e-16
0.000125	5.456204813521032e-17
0.00014583333333333332	6.821937797709028e-17
0.00016666666666666666	1.0356914371461651e-16
0.0001875	3.601052153735295e-17
0.00020833333333333332	4.363157228116677e-18
0.00022916666666666666	1.0565326104211946e-17
0.00025	3.9483074005702795e-17
0.0002708333333333333	4.421052500307584e-17
0.00029166666666666664	1.283553662540259e-16
0.0003125	7.3985777055668e-17
0.0003333333333333333	2.1047544635808755e-17
0.00035416666666666664	4.9477879809995244e-17
0.000375	6.78157494010096e-17
0.0003958333333333333	2.1486004254123784e-17
0.00041666666666666664	2.4119570971783896e-17
0.0004375	1.5432263468311147e-16
0.0004583333333333333	6.426799637895955e-16
0.00047916666666666664	4.2061035620775037e-16
0.0005	3.141685196067638e-17
0.0005208333333333333	1.9925712856104322e-16
0.0005416666666666666	5.811335142935889e-17
0.0005625	2.552515126305859e-17
0.0005833333333333333	1.4818087919177198e-16
0.0006041666666666667	1.2402720621285387e-16
0.000625	2.4030588341113583e-16
0.0006458333333333333	4.352747133757041e-16
0.0006666666666666666	3.3066619876115075e-16
0.0006875	3.2521677635057384e-17
0.0007083333333333333	6.904115481516074e-17
0.0007291666666666666	6.4290628844785514e-18
0.00075	1.10764097844548e-16
0.0007708333333333333	5.584576810103974e-17
0.0007916666666666666	1.120428947057283e-17
0.0008125	6.906918048158199e-17
0.0008333333333333333	2.718931483297245e-16
0.0008541666666666666	2.9714243390787945e-16
0.000875	3.2428044470631e-16
0.0008958333333333333	8.116584409031909e-17
0.0009166666666666666	8.545188340338439e-17
0.0009375	6.600331850167616e-17
0.0009583333333333333	6.5447187455910295e-18
0.0009791666666666666	7.0490887823172e-17
0.001	6.130214305640825e-17
0.0010208333333333332	8.955259900422748e-17
0.0010416666666666667	1.446263681921931e-16
0.0010624999999999999	1.0944106911996572e-16
0.0010833333333333333	1.3641771922056563e-17
0.0011041666666666667	7.654463342024725e-18
0.001125	1.1947503517242213e-17
0.0011458333333333333	1.3747438942005268e-18
0.0011666666666666665	5.750002419590519e-18
0.0011875	5.5222322415917247e-17
0.0012083333333333334	7.314285813203551e-17
0.0012291666666666666	5.525087764602106e-17
0.00125	4.986546974334747e-17
0.0012708333333333332	3.798175136757446e-17
0.0012916666666666667	4.038584311054009e-18
0.0013124999999999999	2.6371701414387842e-17
0.0013333333333333333	6.711020146528197e-17
0.0013541666666666667	4.206178109195974e-17
0.001375	7.803152191775598e-17
0.0013958333333333333	1.5873846230916735e-16
0.0014166666666666666	2.1319645625362996e-16
0.0014375	2.2777716397358664e-16
0.0014583333333333332	1.1015605750140307e-16
0.0014791666666666666	1.0204833016288993e-16
0.0015	1.137668439769967e-16
0.0015208333333333332	5.0275792477608146e-17
0.0015416666666666667	8.098379676117741e-17
0.0015624999999999999	1.1226597110273481e-16
0.0015833333333333333	2.5312792300447855e-17
0.0016041666666666667	4.300858094840533e-17
0.001625	6.30396056418162e-17
0.0016458333333333333	5.949975028448547e-17
0.0016666666666666666	8.444139963494916e-18
0.0016875	2.1462573902891413e-17
0.0017083333333333332	6.499563691441343e-17
0.0017291666666666666	8.498874748738015e-17
0.00175	4.1033161161550224e-17
0.0017708333333333332	2.7339787787973555e-16
0.0017916666666666667	2.0741347695503222e-16
0.0018124999999999999	2.068008980451601e-16
0.0018333333333333333	2.1184604533833907e-16
